,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0,AVG CPU TEMP
Time,CPU Core #1,CPU Core #2,CPU Total,CPU Core #1,CPU Core #2,CPU Package,CPU Core #1,CPU Core #2,CPU Package,CPU Cores,CPU Graphics,Bus Speed,Memory,Used Memory,Available Memory,Temperature,Used Space,
11/23/2021 23:35:34,0,1.5625,0.78125,37,37,37,1197.2804,1197.2804,1.7639612,0.2844587,0.005814526,99.77336,26.05085,2.05235672,5.82591629,44,23.2809753,37
11/23/2021 23:35:35,0.78125,2.34375,1.5625,38,38,38,1197.2804,1197.2804,1.7511766,0.2684439,0.005741463,99.77337,26.0494461,2.052246,5.826027,44,23.2809753,38
11/23/2021 23:35:36,0.793647766,1.5625,1.17807388,38,38,38,1197.28027,1197.28027,1.93179154,0.41481027,0.008353744,99.77335,26.0491943,2.052227,5.826046,44,23.2809753,38
11/23/2021 23:35:37,0,2.34375,1.171875,37,37,38,1197.28015,1197.28015,2.247745,0.462729156,0.005500562,99.7733459,26.04808,2.05213928,5.82613373,44,23.2809753,37.33333333
11/23/2021 23:35:38,0,1.53846145,0.7692337,36,36,37,1197.28015,1197.28015,2.18435979,0.385766447,0.005789721,99.7733459,26.0462952,2.05199814,5.826275,44,23.2809753,36.33333333
11/23/2021 23:35:39,0.78125,2.34375,1.5625,37,37,38,1197.28015,1197.28015,2.15305471,0.355901152,0.005923289,99.7733459,26.0458145,2.05196,5.826313,44,23.2809753,37.33333333
11/23/2021 23:35:40,0,2.34375,1.171875,36,36,38,1197.28052,1197.28052,1.97143793,0.423009723,0.005613748,99.77338,26.0328369,2.05093765,5.82733536,44,23.2809753,36.66666667
11/23/2021 23:35:41,2.34375,2.34375,2.34375,37,37,38,1197.28052,1197.28052,1.9769752,0.4632284,0.005848228,99.77337,26.023201,2.05017853,5.82809448,44,23.2809753,37.33333333
11/23/2021 23:35:42,0,1.5625,0.78125,37,37,38,1197.28015,1197.28015,1.8492918,0.3589107,0.005720969,99.7733459,26.0124969,2.04933548,5.82893753,44,23.2809753,37.33333333
11/23/2021 23:35:43,0.78125,2.34375,1.5625,37,37,38,1197.28027,1197.28027,1.89048159,0.390110523,0.005491506,99.77336,26.0114288,2.04925156,5.82902145,44,23.2809753,37.33333333
11/23/2021 23:35:44,0,1.5625,0.78125,36,36,38,1197.28027,1197.28027,1.85550332,0.357312024,0.005765551,99.77335,26.0001984,2.04836655,5.82990646,44,23.2809753,36.66666667
11/23/2021 23:35:45,0,2.34375,1.171875,36,36,37,1197.2804,1197.2804,1.84667861,0.3504641,0.005818163,99.77336,25.99865,2.04824448,5.83002853,44,23.2809753,36.33333333
11/23/2021 23:35:46,0,1.5625,0.78125,36,36,37,1197.28015,1197.28015,1.78472054,0.304865,0.005899624,99.77335,25.9955444,2.04800034,5.83027267,44,23.2809753,36.33333333
11/23/2021 23:35:47,0,2.34375,1.171875,36,36,37,1197.2804,1197.2804,1.82752383,0.332806677,0.005612947,99.77337,25.984993,2.04716873,5.83110428,44,23.2809753,36.33333333
11/23/2021 23:35:48,0,1.5625,0.78125,37,37,37,1197.27979,1197.27979,1.80588722,0.3211104,0.005968538,99.7733154,25.9787979,2.04668045,5.83159256,44,23.2809753,37
11/23/2021 23:35:49,1.5504837,1.5625,1.55649185,37,37,38,1197.28052,1197.28052,1.84890163,0.352759778,0.005566049,99.7733841,25.97245,2.04618073,5.83209229,44,23.2809753,37.33333333
11/23/2021 23:35:50,0.806450844,1.5625,1.18447542,37,37,38,1197.2804,1197.2804,1.8632971,0.364560455,0.005949254,99.77337,25.97168,2.04611969,5.83215332,44,23.2809753,37.33333333
11/23/2021 23:35:51,0.757575035,1.53846145,1.14802122,36,36,37,1197.28027,1197.28027,1.86328316,0.3688907,0.005683295,99.77335,25.9630051,2.04543686,5.832836,44,23.2809753,36.33333333
11/23/2021 23:35:52,0,2.34375,1.171875,37,37,37,1197.28015,1197.28015,1.88712072,0.3784872,0.005897348,99.7733459,25.9537659,2.04470825,5.83356476,44,23.2809753,37
