,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0,
Time,CPU Core #1,CPU Core #2,CPU Total,CPU Core #1,CPU Core #2,CPU Package,CPU Core #1,CPU Core #2,CPU Package,CPU Cores,CPU Graphics,Bus Speed,Memory,Used Memory,Available Memory,Temperature,Used Space,
11/19/2021 04:59:40,0,1.5625,0.78125,39,39,40,1197.284,1197.284,1.70593643,0.233283,0.001637557,99.773674,32.161705,2.53378677,5.344486,36,10.602066,39.33333333
11/19/2021 05:04:40,0.78125,1.5625,1.171875,40,40,41,1197.284,1197.284,1.93689322,0.447057784,0.001224438,99.773674,32.1469421,2.53262329,5.34564972,36,10.6020966,40.33333333
11/19/2021 05:09:40,0,1.5625,0.78125,40,40,40,1197.284,1197.284,1.742381,0.261901647,0.001326895,99.773674,32.1960831,2.53649521,5.341778,36,10.6020737,40
11/19/2021 05:14:40,0,1.5625,0.78125,40,40,41,1197.284,1197.284,1.78248954,0.291109174,0.001339176,99.773674,32.0786133,2.52724075,5.35103226,36,10.6021194,40.33333333
11/19/2021 05:19:40,0,1.53846145,0.7692337,40,40,41,1197.284,1197.284,1.783209,0.292927,0.001604831,99.773674,32.1087723,2.52961731,5.3486557,36,10.6021805,40.33333333
11/19/2021 05:24:41,0,1.5625,0.78125,40,40,40,1197.284,1197.284,1.71982551,0.245540842,0.001452362,99.773674,32.2506027,2.54079056,5.33748245,36,10.6022415,40
11/19/2021 05:29:41,0,1.5625,0.78125,40,40,40,1197.28442,1197.28442,1.68605542,0.215459734,0.001326234,99.7737045,32.168045,2.5342865,5.34398651,36,10.6023026,40
11/19/2021 05:34:41,0,1.5625,0.78125,39,39,40,1197.28418,1197.28418,1.70069683,0.228308856,0.001504254,99.773674,32.19487,2.53639984,5.341873,36,10.6023178,39.33333333
11/19/2021 05:39:41,0,2.34375,1.171875,40,40,40,1197.28418,1197.28418,1.68448067,0.210375711,0.001429265,99.77368,32.1926956,2.53622818,5.342045,36,10.6015244,40
11/19/2021 05:44:41,0,2.34375,1.171875,40,40,41,1197.2843,1197.2843,1.69805312,0.2236487,0.001448304,99.77369,32.1530838,2.53310776,5.34516525,36,10.60157,40.33333333
